TIME OCC,AREA,AREA NAME,Crm Cd Desc,Premis Desc,Status,Year,Month,Day,Hour,DateTime
2030,3,Southwest,FALSE IMPRISONMENT,PARKING UNDERGROUND/BUILDING,AO,2020,1,3,20,2020-01-03 20:00:00
2045,4,Hollenbeck,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,AA,2020,1,3,20,2020-01-03 20:00:00
2100,1,Central,THEFT PLAIN - PETTY ($950 & UNDER),RESTAURANT/FAST FOOD,IC,2020,1,3,21,2020-01-03 21:00:00
2100,1,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET,IC,2020,1,3,21,2020-01-03 21:00:00
2200,13,Newton,THEFT PLAIN - PETTY ($950 & UNDER),LAUNDROMAT,IC,2020,1,3,22,2020-01-03 22:00:00
2220,1,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET,IC,2020,1,3,22,2020-01-03 22:00:00
2300,1,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",BAR/SPORTS BAR (OPEN DAY & NIGHT),IC,2020,1,3,23,2020-01-03 23:00:00
2330,1,Central,INTIMATE PARTNER - SIMPLE ASSAULT,TUNNEL,AO,2020,1,3,23,2020-01-03 23:00:00
147,3,Southwest,ROBBERY,STREET,IC,2020,1,4,1,2020-01-04 01:00:00
248,13,Newton,BURGLARY,OTHER BUSINESS,IC,2020,1,4,2,2020-01-04 02:00:00
600,3,Southwest,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,2020,1,4,6,2020-01-04 06:00:00
747,1,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,4,7,2020-01-04 07:00:00
1000,3,Southwest,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,2020,1,4,10,2020-01-04 10:00:00
1000,9,Van Nuys,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,4,10,2020-01-04 10:00:00
1045,12,77th Street,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,JA,2020,1,4,10,2020-01-04 10:00:00
1050,4,Hollenbeck,THEFT PLAIN - PETTY ($950 & UNDER),PARKING LOT,IC,2020,1,4,10,2020-01-04 10:00:00
1100,8,West LA,BRANDISH WEAPON,STREET,IC,2020,1,4,11,2020-01-04 11:00:00
1105,12,77th Street,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING,AA,2020,1,4,11,2020-01-04 11:00:00
1130,9,Van Nuys,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",MEDICAL/DENTAL OFFICES,AO,2020,1,4,11,2020-01-04 11:00:00
1200,13,Newton,VEHICLE - STOLEN,AUTO SALES LOT,IC,2020,1,4,12,2020-01-04 12:00:00
1300,1,Central,BURGLARY FROM VEHICLE,PARKING LOT,IC,2020,1,4,13,2020-01-04 13:00:00
1330,4,Hollenbeck,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,IC,2020,1,4,13,2020-01-04 13:00:00
1500,3,Southwest,VEHICLE - STOLEN,STREET,AA,2020,1,4,15,2020-01-04 15:00:00
1520,9,Van Nuys,BATTERY - SIMPLE ASSAULT,CLOTHING STORE,AO,2020,1,4,15,2020-01-04 15:00:00
1550,12,77th Street,SHOTS FIRED AT INHABITED DWELLING,SINGLE FAMILY DWELLING,IC,2020,1,4,15,2020-01-04 15:00:00
1550,5,Harbor,SHOPLIFTING - PETTY THEFT ($950 & UNDER),DRUG STORE,IC,2020,1,4,15,2020-01-04 15:00:00
1630,7,Wilshire,BURGLARY FROM VEHICLE,STREET,IC,2020,1,4,16,2020-01-04 16:00:00
1700,12,77th Street,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING,IC,2020,1,4,17,2020-01-04 17:00:00
1715,13,Newton,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,2020,1,4,17,2020-01-04 17:00:00
1720,2,Rampart,INTIMATE PARTNER - SIMPLE ASSAULT,"VEHICLE, PASSENGER/TRUCK",AO,2020,1,4,17,2020-01-04 17:00:00
1900,8,West LA,BATTERY - SIMPLE ASSAULT,THEATRE/MOVIE,IC,2020,1,4,19,2020-01-04 19:00:00
1930,2,Rampart,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,4,19,2020-01-04 19:00:00
2000,10,West Valley,VEHICLE - STOLEN,PARKING LOT,AO,2020,1,4,20,2020-01-04 20:00:00
2030,3,Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK",IC,2020,1,4,20,2020-01-04 20:00:00
2100,6,Hollywood,VEHICLE - STOLEN,STREET,IC,2020,1,4,21,2020-01-04 21:00:00
2115,11,Northeast,BURGLARY FROM VEHICLE,PARKING LOT,IC,2020,1,4,21,2020-01-04 21:00:00
2200,11,Northeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",AA,2020,1,4,22,2020-01-04 22:00:00
2200,10,West Valley,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),DRIVEWAY,IC,2020,1,4,22,2020-01-04 22:00:00
2215,4,Hollenbeck,INTIMATE PARTNER - AGGRAVATED ASSAULT,STREET,AO,2020,1,4,22,2020-01-04 22:00:00
2320,3,Southwest,INTIMATE PARTNER - AGGRAVATED ASSAULT,SINGLE FAMILY DWELLING,AA,2020,1,4,23,2020-01-04 23:00:00
1,6,Hollywood,BATTERY - SIMPLE ASSAULT,STREET,IC,2020,1,5,0,2020-01-05 00:00:00
5,11,Northeast,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,2020,1,5,0,2020-01-05 00:00:00
519,1,Central,TRESPASSING,LA UNION STATION (NOT LINE SPECIFIC),IC,2020,1,5,5,2020-01-05 05:00:00
615,9,Van Nuys,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,5,6,2020-01-05 06:00:00
800,8,West LA,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS,IC,2020,1,5,8,2020-01-05 08:00:00
915,9,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",NURSING/CONVALESCENT/RETIREMENT HOME,AA,2020,1,5,9,2020-01-05 09:00:00
1200,4,Hollenbeck,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,ELEMENTARY SCHOOL,AA,2020,1,5,12,2020-01-05 12:00:00
1225,9,Van Nuys,OTHER ASSAULT,CELL PHONE STORE,AO,2020,1,5,12,2020-01-05 12:00:00
1300,3,Southwest,THEFT PLAIN - PETTY ($950 & UNDER),CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),IC,2020,1,5,13,2020-01-05 13:00:00
1740,2,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK,IC,2020,1,5,17,2020-01-05 17:00:00
1745,12,77th Street,VANDALISM - MISDEAMEANOR ($399 OR UNDER),SINGLE FAMILY DWELLING,IC,2020,1,5,17,2020-01-05 17:00:00
1844,7,Wilshire,VIOLATION OF RESTRAINING ORDER,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,2020,1,5,18,2020-01-05 18:00:00
1845,8,West LA,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",GROUP HOME,AO,2020,1,5,18,2020-01-05 18:00:00
1900,8,West LA,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET,IC,2020,1,5,19,2020-01-05 19:00:00
1910,1,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SIDEWALK,IC,2020,1,5,19,2020-01-05 19:00:00
2000,12,77th Street,VEHICLE - STOLEN,STREET,IC,2020,1,5,20,2020-01-05 20:00:00
2000,4,Hollenbeck,VEHICLE - STOLEN,STREET,IC,2020,1,5,20,2020-01-05 20:00:00
2000,1,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET,IC,2020,1,5,20,2020-01-05 20:00:00
2010,4,Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),SINGLE FAMILY DWELLING,AO,2020,1,5,20,2020-01-05 20:00:00
2030,4,Hollenbeck,BURGLARY FROM VEHICLE,STREET,IC,2020,1,5,20,2020-01-05 20:00:00
2130,4,Hollenbeck,BURGLARY FROM VEHICLE,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,5,21,2020-01-05 21:00:00
2345,13,Newton,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,AA,2020,1,5,23,2020-01-05 23:00:00
1,13,Newton,CRIMINAL HOMICIDE,STREET,IC,2020,1,6,0,2020-01-06 00:00:00
30,5,Harbor,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,2020,1,6,0,2020-01-06 00:00:00
400,6,Hollywood,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",HOTEL,IC,2020,1,6,4,2020-01-06 04:00:00
425,2,Rampart,SHOPLIFTING - PETTY THEFT ($950 & UNDER),MINI-MART,IC,2020,1,6,4,2020-01-06 04:00:00
550,9,Van Nuys,ROBBERY,SIDEWALK,IC,2020,1,6,5,2020-01-06 05:00:00
720,11,Northeast,CRIMINAL HOMICIDE,OTHER BUSINESS,IC,2020,1,6,7,2020-01-06 07:00:00
1000,7,Wilshire,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,6,10,2020-01-06 10:00:00
1020,13,Newton,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET,IC,2020,1,6,10,2020-01-06 10:00:00
1140,13,Newton,VEHICLE - ATTEMPT STOLEN,STREET,AO,2020,1,6,11,2020-01-06 11:00:00
1230,4,Hollenbeck,BRANDISH WEAPON,STREET,IC,2020,1,6,12,2020-01-06 12:00:00
1340,2,Rampart,VIOLATION OF RESTRAINING ORDER,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,2020,1,6,13,2020-01-06 13:00:00
1400,11,Northeast,VEHICLE - STOLEN,PARKING LOT,IC,2020,1,6,14,2020-01-06 14:00:00
1420,3,Southwest,ROBBERY,CAR WASH,JA,2020,1,6,14,2020-01-06 14:00:00
1445,11,Northeast,DOCUMENT FORGERY / STOLEN FELONY,BANK,IC,2020,1,6,14,2020-01-06 14:00:00
1700,12,77th Street,BURGLARY,SINGLE FAMILY DWELLING,IC,2020,1,6,17,2020-01-06 17:00:00
1745,6,Hollywood,BURGLARY,SINGLE FAMILY DWELLING,IC,2020,1,6,17,2020-01-06 17:00:00
1800,9,Van Nuys,THEFT OF IDENTITY,SINGLE FAMILY DWELLING,IC,2020,1,6,18,2020-01-06 18:00:00
1815,3,Southwest,BATTERY - SIMPLE ASSAULT,PARKING LOT,IC,2020,1,6,18,2020-01-06 18:00:00
1834,12,77th Street,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",DRUG STORE,IC,2020,1,6,18,2020-01-06 18:00:00
1845,7,Wilshire,BATTERY - SIMPLE ASSAULT,OTHER BUSINESS,IC,2020,1,6,18,2020-01-06 18:00:00
1900,11,Northeast,VEHICLE - STOLEN,STREET,IC,2020,1,6,19,2020-01-06 19:00:00
2100,13,Newton,VEHICLE - STOLEN,STREET,IC,2020,1,6,21,2020-01-06 21:00:00
2220,3,Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",YARD (RESIDENTIAL/BUSINESS),AO,2020,1,6,22,2020-01-06 22:00:00
2230,1,Central,THEFT PLAIN - PETTY ($950 & UNDER),DEPARTMENT STORE,IC,2020,1,6,22,2020-01-06 22:00:00
2330,12,77th Street,VEHICLE - STOLEN,STREET,IC,2020,1,6,23,2020-01-06 23:00:00
2330,4,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,AO,2020,1,6,23,2020-01-06 23:00:00
50,6,Hollywood,BATTERY POLICE (SIMPLE),POLICE FACILITY,AA,2020,1,7,0,2020-01-07 00:00:00
300,2,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",MTA - RED LINE - WESTLAKE/MACARTHUR PARK,IC,2020,1,7,3,2020-01-07 03:00:00
345,4,Hollenbeck,"RAPE, FORCIBLE",PARKING LOT,AO,2020,1,7,3,2020-01-07 03:00:00
900,1,Central,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,7,9,2020-01-07 09:00:00
