DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200504057,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030,05,Harbor,0514,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300 1606,33,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,420,,,,900    WILMINGTON                   BL,,33.7897,-118.2787
200710521,06/15/2020 12:00:00 AM,05/30/2020 12:00:00 AM,1420,07,Wilshire,0723,2,623,BATTERY POLICE (SIMPLE),0917 0416 1822 0209 1212 0447,0,M,X,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,623,,,,3RD                          ST,FAIRFAX                      AV,34.0719,-118.3614
201207530,02/20/2020 12:00:00 AM,02/20/2020 12:00:00 AM,1620,12,77th Street,1266,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0910 0344 0216 1822 1258 0346 2049 2051,17,F,H,801,MTA BUS,,,IC,Invest Cont,341,,,,FIGUEROA,79TH                         ST,33.9679,-118.2827
201305498,01/27/2020 12:00:00 AM,01/27/2020 12:00:00 AM,1000,13,Newton,1365,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0448 1309 1813 1243,28,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,HOOPER                       ST,48TH                         ST,34.0002,-118.2521
200307640,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,0845,03,Southwest,0357,1,450,THEFT FROM PERSON - ATTEMPT,1822 2048 0910 2052 0301,55,F,H,945,MTA - EXPO LINE - EXPO/VERMONT,,,IC,Invest Cont,450,,,,1000    EXPOSITION                   BL,,34.0219,-118.2959
200706917,03/03/2020 12:00:00 AM,03/03/2020 12:00:00 AM,1140,07,Wilshire,0773,1,761,BRANDISH WEAPON,0334 0421 1822,47,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,IC,Invest Cont,761,,,,1800 S  REDONDO                      BL,,34.0417,-118.3588
200616577,10/12/2020 12:00:00 AM,10/12/2020 12:00:00 AM,0115,06,Hollywood,0643,2,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",0325 0601 0104 1822,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,951,,,,7100 W  SUNSET                       BL,,34.1007,-118.3494
200711079,06/30/2020 12:00:00 AM,06/29/2020 12:00:00 AM,1550,07,Wilshire,0769,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0433 1912 2000 1814,26,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AA,Adult Arrest,930,,,,1500    4TH                          AV,,34.0436,-118.3213
200411607,08/08/2020 12:00:00 AM,08/08/2020 12:00:00 AM,1830,04,Hollenbeck,0464,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 2004 1202 0561,61,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2300 E  1ST                          ST,,34.0441,-118.2105
200606525,02/19/2020 12:00:00 AM,02/19/2020 12:00:00 AM,0937,06,Hollywood,0647,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0444,32,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1500 N  EL CENTRO                    AV,,34.098,-118.3237
200909957,05/21/2020 12:00:00 AM,05/15/2020 12:00:00 AM,2205,09,Van Nuys,0989,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822,26,F,W,101,STREET,,,IC,Invest Cont,420,,,,4300    VENTURA CANYON               AV,,34.1478,-118.4296
200218229,12/05/2020 12:00:00 AM,12/04/2020 12:00:00 AM,2300,02,Rampart,0249,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3RD                          ST,BIXEL,34.0576,-118.2598
